DPNO,Unit,PCB 1. Defect,PCB 2. N_Defect,PCB 3. Total Area,PCB 4. Areas,PCB 4. Areas (min),PCB 4. Areas (max),PCB 4. Areas (avg),PCB 5. Total Area (um),PCB 6. Areas (um),PCB 6. Areas (um) (min),PCB 6. Areas (um) (max),PCB 6. Areas (um) (avg),PCB 7. Angle (deg),PCB 7. Angle (deg) (min),PCB 7. Angle (deg) (max),PCB 7. Angle (deg) (avg),PCB 8. Inspection Time,2DM 1. Defect,2DM 2. N_Defect,2DM 3. Row 1,2DM 4. Column 1,2DM 5. Angle 1,2DM 6. Width 1,2DM 7. Height 1,2DM 8. Row 2,2DM 9. Column 2,2DM 10. Angle 2,2DM 11. Width 2,2DM 12. Height 2,2DM 13. Center X,2DM 14. Center Y,2DM 15. Orientation,2DM 16. Row Difference,2DM 17. Column Difference,2DM 18. Distance,2DM 19. Angle Difference,2DM 20. Inspection Time,Smash Bond 1. Defect,Smash Bond 2. N_Defect,Smash Bond 3. Total Area,Smash Bond 4. Areas,Smash Bond 4. Areas (min),Smash Bond 4. Areas (max),Smash Bond 4. Areas (avg),Smash Bond 5. Total Area (um),Smash Bond 6. Areas (um),Smash Bond 6. Areas (um) (min),Smash Bond 6. Areas (um) (max),Smash Bond 6. Areas (um) (avg),Smash Bond 7. Angle (deg),Smash Bond 7. Angle (deg) (min),Smash Bond 7. Angle (deg) (max),Smash Bond 7. Angle (deg) (avg),Smash Bond 8. circularity,Smash Bond 8. circularity (min),Smash Bond 8. circularity (max),Smash Bond 8. circularity (avg),Smash Bond 9. inner_radius (um),Smash Bond 9. inner_radius (um) (min),Smash Bond 9. inner_radius (um) (max),Smash Bond 9. inner_radius (um) (avg),Smash Bond 10. width (um),Smash Bond 10. width (um) (min),Smash Bond 10. width (um) (max),Smash Bond 10. width (um) (avg),Smash Bond 11. Inspection Time,Bond Offset 1. Defect,Bond Offset 2. N_Defect,Bond Offset 3. Total Area,Bond Offset 4. Areas,Bond Offset 4. Areas (min),Bond Offset 4. Areas (max),Bond Offset 4. Areas (avg),Bond Offset 5. Total Area (um),Bond Offset 6. Areas (um),Bond Offset 6. Areas (um) (min),Bond Offset 6. Areas (um) (max),Bond Offset 6. Areas (um) (avg),Bond Offset 7. Angle (deg),Bond Offset 7. Angle (deg) (min),Bond Offset 7. Angle (deg) (max),Bond Offset 7. Angle (deg) (avg),Bond Offset 8. contlength,Bond Offset 8. contlength (min),Bond Offset 8. contlength (max),Bond Offset 8. contlength (avg),Bond Offset 9. inner_radius (um),Bond Offset 9. inner_radius (um) (min),Bond Offset 9. inner_radius (um) (max),Bond Offset 9. inner_radius (um) (avg),Bond Offset 10. bulkiness,Bond Offset 10. bulkiness (min),Bond Offset 10. bulkiness (max),Bond Offset 10. bulkiness (avg),Bond Offset 11. Inspection Time,Die Crack 1. Defect,Die Crack 2. N_Defect,Die Crack 3. Total Area,Die Crack 4. Areas,Die Crack 4. Areas (min),Die Crack 4. Areas (max),Die Crack 4. Areas (avg),Die Crack 5. Total Area (um),Die Crack 6. Areas (um),Die Crack 6. Areas (um) (min),Die Crack 6. Areas (um) (max),Die Crack 6. Areas (um) (avg),Die Crack 7. Angle (deg),Die Crack 7. Angle (deg) (min),Die Crack 7. Angle (deg) (max),Die Crack 7. Angle (deg) (avg),Die Crack 8. inner_radius (um),Die Crack 8. inner_radius (um) (min),Die Crack 8. inner_radius (um) (max),Die Crack 8. inner_radius (um) (avg),Die Crack 9. Offset X,Die Crack 10. Offset Y,Die Crack 11. Offset Theta,Die Crack 12. Inspection Time,BrightField PD (FM) 1. Defect,BrightField PD (FM) 2. N_Defect,BrightField PD (FM) 3. Diameter FAIL (um)(FM),BrightField PD (FM) 3. Diameter FAIL (um)(FM) (min),BrightField PD (FM) 3. Diameter FAIL (um)(FM) (max),BrightField PD (FM) 3. Diameter FAIL (um)(FM) (avg),BrightField PD (FM) 4. Diameter ALL (um)(FM),BrightField PD (FM) 4. Diameter ALL (um)(FM) (min),BrightField PD (FM) 4. Diameter ALL (um)(FM) (max),BrightField PD (FM) 4. Diameter ALL (um)(FM) (avg),BrightField PD (FM) 5. Area ALL (um2)(FM),BrightField PD (FM) 5. Area ALL (um2)(FM) (min),BrightField PD (FM) 5. Area ALL (um2)(FM) (max),BrightField PD (FM) 5. Area ALL (um2)(FM) (avg),BrightField PD (FM) 6. Cummulative Area (um2)(FM),BrightField PD (FM) 7. Inspection Time,BrightField All (FM) 1. Defect,BrightField All (FM) 2. N_Defect,BrightField All (FM) 3. Diameter FAIL PD (um)(FM),BrightField All (FM) 3. Diameter FAIL PD (um)(FM) (min),BrightField All (FM) 3. Diameter FAIL PD (um)(FM) (max),BrightField All (FM) 3. Diameter FAIL PD (um)(FM) (avg),BrightField All (FM) 4. Diameter FAIL Non-Act (um)(FM),BrightField All (FM) 4. Diameter FAIL Non-Act (um)(FM) (min),BrightField All (FM) 4. Diameter FAIL Non-Act (um)(FM) (max),BrightField All (FM) 4. Diameter FAIL Non-Act (um)(FM) (avg),BrightField All (FM) 5. Area FAIL (um)(FM),BrightField All (FM) 5. Area FAIL (um)(FM) (min),BrightField All (FM) 5. Area FAIL (um)(FM) (max),BrightField All (FM) 5. Area FAIL (um)(FM) (avg),BrightField All (FM) 6. Diameter ALL (um)(FM),BrightField All (FM) 6. Diameter ALL (um)(FM) (min),BrightField All (FM) 6. Diameter ALL (um)(FM) (max),BrightField All (FM) 6. Diameter ALL (um)(FM) (avg),BrightField All (FM) 7. Area ALL (um2)(FM),BrightField All (FM) 7. Area ALL (um2)(FM) (min),BrightField All (FM) 7. Area ALL (um2)(FM) (max),BrightField All (FM) 7. Area ALL (um2)(FM) (avg),BrightField All (FM) 8. Cummulative Area (um2)(FM),BrightField All (FM) 9. Inspection Time
HRH14450847,HE_9_1_L_78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.455599981,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.64210001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.677399996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.693099999,74,2,3311,"[1763, 1548]",1548,1763,1655.5,8476.16,"[4513.28, 3962.88]",3962.88,4513.28,4238.08,"[-0.000993577055094996, 89.8686623532753]",-0.000993577,89.86866235,44.9338,"[4.8, 4]",4,4.8,4.4,234.2670448,-1015.201361,-0.056927772,25.67850001,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.80519999,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0901
HRH14450847,HE_18_2_L_74,1,1,2989219,2989219,2989219,2989219,2989219,7652400.64,7652400.64,7652400.64,7652400.64,7652400.64,-1.212490665,-1.212490665,-1.212490665,-1.2125,8.761400008,1,0,1299.978776,1862.791478,0.566365156,4029.752615,1987.259746,1428.396927,1862.115764,0.439367918,5082.904423,3430.114594,1364.187851,1862.453621,1.56553455,-205.4690406,1.081142243,205.471885,0.126997238,55.89230001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.56951493862193, 0.564598667790195, 0.557234649407822, 0.577569780405106, 0.61575269084421, 0.593633487777232, 0.598437839235951, 0.578491940096248, 0.61905261787008]",0.557234649,0.619052618,0.586,"[25.6, 25.6, 25.6, 25.6, 25.6, 25.6, 25.6, 25.6, 24.8]",24.8,25.6,25.5111,"[62.4, 62.4, 62.4, 62.4, 65.6, 62.4, 62.4, 64, 64]",62.4,65.6,63.1111,5.780800013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88740001,74,2,31927,"[12806, 19121]",12806,19121,15963.5,81733.12,"[32783.36, 48949.76]",32783.36,48949.76,40866.56,"[52.1166685634938, 21.8011842352993]",21.80118424,52.11666856,36.9589,"[5.6, 5.6]",5.6,5.6,5.6,1383.501109,-1577.199063,2986.065151,14.88480001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.0022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68470001
HRH14450847,HE_13_3_L_74,1,1,2991682,2991682,2991682,2991682,2991682,7658705.92,7658705.92,7658705.92,7658705.92,7658705.92,-1.163729387,-1.163729387,-1.163729387,-1.1637,18.22190001,1,0,1269.208857,1896.954899,0.619122642,4029.361443,1987.54533,1396.13302,1898.040361,0.478520923,5075.447809,3432.640982,1332.670938,1897.49763,-1.562244484,-203.0786616,-1.73673903,203.0860878,0.140601719,96.94449999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.584090886887224, 0.568815833076073, 0.530258152445333, 0.550283017129117, 0.565988117373753, 0.565153913368719, 0.547317561684524, 0.562139841681116, 0.533136073409727]",0.530258152,0.584090887,0.5564,"[27.2, 27.2, 26.4, 26.4, 28, 27.2, 27.2, 26.4, 27.2]",26.4,28,27.0222,"[62.4, 62.4, 62.4, 62.4, 64, 60.8, 62.4, 59.2, 59.2]",59.2,64,61.6889,4.221799987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.606099995,74,2,32406,"[11195, 21211]",11195,21211,16203,82959.36,"[28659.2, 54300.16]",28659.2,54300.16,41479.68,"[35.4482525895671, 17.4526098769627]",17.45260988,35.44825259,26.4504,"[5.6, 5.6]",5.6,5.6,5.6,1499.932184,-1346.58887,2031.035264,10.81850001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.7758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.50999999
HRH14450847,HE_1_9_L_78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.367100006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.38249998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.896500005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.129100009,74,2,3530,"[1987, 1543]",1543,1987,1765,9036.8,"[5086.72, 3950.08]",3950.08,5086.72,4518.4,"[0.000785475715521035, 89.8705239122524]",0.000785476,89.87052391,44.9357,"[4.8, 4]",4,4.8,4.4,264.1336688,-1015.198792,0.045004443,23.91039999,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04160001,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.932400003
HRH14450847,HE_16_9_L_74,1,1,2993255,2993255,2993255,2993255,2993255,7662732.8,7662732.8,7662732.8,7662732.8,7662732.8,-1.385607987,-1.385607987,-1.385607987,-1.3856,9.861800005,1,0,1292.802966,1908.266706,0.411389682,4029.780359,1988.998409,1422.130964,1908.468426,0.261564656,5081.974422,3434.332183,1357.466965,1908.367566,-1.569236569,-206.9247972,-0.322752792,206.9250489,0.149825026,50.4447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.589763353785135, 0.560578821089269, 0.580859877268787, 0.572642645163353, 0.592239954748062, 0.567984293501403, 0.551080744931558, 0.613272076534667, 0.552726394828055]",0.551080745,0.613272077,0.5757,"[28.8, 28, 28.8, 28.8, 28.8, 28.8, 28, 28.8, 26.4]",26.4,28.8,28.3556,"[59.2, 56, 59.2, 59.2, 60.8, 59.2, 59.2, 59.2, 59.2]",56,60.8,59.0222,3.535199998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.039599989,74,2,33889,"[8577, 25312]",8577,25312,16944.5,86755.84,"[21957.12, 64798.72]",21957.12,64798.72,43377.92,"[9.94024774703773, 9.88054713903876]",9.880547139,9.940247747,9.9104,"[5.6, 5.6]",5.6,5.6,5.6,1673.827772,-1144.59993,569.5342432,12.71400001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.0358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.83830001
HRH14450847,HE_18_9_L_78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9767,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.4365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.245799998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.464500012,74,2,3510,"[1695, 1815]",1695,1815,1755,8985.6,"[4339.2, 4646.4]",4339.2,4646.4,4492.8,"[-0.00107736578715278, 89.8169808446816]",-0.001077366,89.81698084,44.908,"[4.8, 4]",4,4.8,4.4,225.200708,-1015.201416,-0.061728513,8.341700013,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.38439999,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.661899981
HRH14450847,HE_9_16_L_78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.50699999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.7983,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.925799996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.015899991,74,2,3589,"[2009, 1580]",1580,2009,1794.5,9187.84,"[5143.04, 4044.8]",4044.8,5143.04,4593.92,"[0.00434868316838629, 89.8653101075849]",0.004348683,89.86531011,44.9348,"[4.8, 4]",4,4.8,4.4,267.0685913,-1015.19323,0.249161192,11.07160002,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.60790001,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.273400002
HRH14450847,HE_3_15_L_51,1,1,2993889,2993889,2993889,2993889,2993889,7664355.84,7664355.84,7664355.84,7664355.84,7664355.84,-1.283701185,-1.283701185,-1.283701185,-1.2837,12.6971,51,1,1,1957.314457,0.498587722,4029.817891,1987.936246,1386.213068,1959.354468,0.357244239,5074.665326,3428.526806,1323.150714,1958.334462,-1.554623181,-201.7995341,-3.264017817,201.8259294,0.141343483,55.16659998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.501393028243675, 0.527923637897847, 0.541651840328808, 0.548553399766039, 0.550590868865313, 0.554032120783952, 0.552297315432126, 0.572609554901763, 0.547664733458547]",0.501393028,0.572609555,0.5441,"[27.2, 28, 27.2, 27.2, 28.8, 27.2, 27.2, 26.4, 25.6]",25.6,28.8,27.2,"[59.2, 60.8, 60.8, 62.4, 59.2, 62.4, 60.8, 62.4, 60.8]",59.2,62.4,60.9778,6.266700017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.933100022,1,1,33120,33120,33120,33120,33120,84787.2,84787.2,84787.2,84787.2,84787.2,-4.543399339,-4.543399339,-4.543399339,-4.5434,5.6,5.6,5.6,5.6,2985.348068,-2149.696522,-260.3176068,14.52300002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.16609999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.36900001
HRH14450847,HE_1_15_L_51,1,1,2994667,2994667,2994667,2994667,2994667,7666347.52,7666347.52,7666347.52,7666347.52,7666347.52,-1.014167211,-1.014167211,-1.014167211,-1.0142,8.226199978,51,1,1,1955.166804,0.786560938,4030.063687,1988.862567,1381.552254,1958.731296,0.567506369,5076.746666,3431.008287,1318.178874,1956.94905,-1.542680794,-202.7948139,-5.703187004,202.8749933,0.219054569,46.19170001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.540901514483557, 0.577929415069132, 0.532473061212725, 0.571259765572932, 0.541457198241425, 0.563339908102605, 0.593126317979814, 0.572193604029177, 0.538903758338965]",0.532473061,0.593126318,0.5591,"[30.4, 30.4, 30.4, 30.4, 29.6, 29.6, 30.4, 28.8, 27.2]",27.2,30.4,29.6889,"[62.4, 64, 64, 64, 62.4, 62.4, 68.8, 62.4, 60.8]",60.8,68.8,63.4667,6.689100002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.922899992,1,1,32939,32939,32939,32939,32939,84323.84,84323.84,84323.84,84323.84,84323.84,-4.874573481,-4.874573481,-4.874573481,-4.8746,5.6,5.6,5.6,5.6,3001.117217,-2138.55624,-279.2924874,12.28329999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.7332,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15.17893277,15.17893277,15.17893277,15.1789,156.16,156.16,156.16,156.16,156.16,13.34619999
HRH14450847,HE_2_1_L,1,1,2983740,2983740,2983740,2983740,2983740,7638374.4,7638374.4,7638374.4,7638374.4,7638374.4,-1.313647957,-1.313647957,-1.313647957,-1.3136,15.50059998,1,0,1273.290265,1876.372466,0.45508678,4030.127071,1987.853258,1402.962309,1878.298678,0.265659166,5081.857346,3439.198637,1338.126287,1877.335572,-1.555942933,-207.4752706,-3.081938553,207.4981597,0.189427614,73.71639999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0.599504800184019, 0.586809307142694, 0.538698761248893, 0.598653878808926, 0.567134133077594, 0.581087679608182, 0.514199078662052, 0.598886759964391, 0.632862085941171]",0.514199079,0.632862086,0.5798,"[27.2, 27.2, 27.2, 28.8, 28.8, 28, 24.8, 28, 27.2]",24.8,28.8,27.4667,"[59.2, 60.8, 59.2, 59.2, 60.8, 59.2, 60.8, 60.8, 62.4]",59.2,62.4,60.2667,5.812999996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.647000013,1,1,33922,33922,33922,33922,33922,86840.32,86840.32,86840.32,86840.32,86840.32,-4.823965951,-4.823965951,-4.823965951,-4.824,5.6,5.6,5.6,5.6,2867.718601,-2190.225246,-276.3928895,14.8301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.86489999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.03529999
